City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
177,Vila Velha,BR,2021-05-25 20:53:24,-20.3297,-40.2925,73.35,78,75,11.01,broken clouds
178,Tomatlan,MX,2021-05-25 20:56:14,19.9333,-105.25,93.09,34,0,11.77,clear sky
179,Constitucion,CL,2021-05-25 20:53:53,-35.3333,-72.4167,59.54,72,98,11.45,overcast clouds
180,Sikasso,ML,2021-05-25 20:56:15,10.9167,-7.0,84.9,45,91,6.76,overcast clouds
181,Sinop,TR,2021-05-25 20:56:15,41.7711,34.8709,52.65,45,0,5.93,clear sky
182,Mehran,IR,2021-05-25 20:56:15,33.1222,46.1646,81.88,21,5,1.07,clear sky
183,Svetlaya,RU,2021-05-25 20:56:16,46.5389,138.3297,46.81,84,84,5.28,broken clouds
184,Dingle,PH,2021-05-25 20:56:16,10.9995,122.6711,78.26,85,100,3.18,light rain
185,Dulce Grande,MX,2021-05-25 20:56:16,23.0,-102.1667,83.75,18,30,2.53,scattered clouds
186,Nichinan,JP,2021-05-25 20:56:17,31.6,131.3667,64.76,71,99,5.39,overcast clouds
187,Palana,RU,2021-05-25 20:56:17,59.1167,159.9667,35.85,85,100,4.9,overcast clouds
188,Sibu,MY,2021-05-25 20:56:17,2.3,111.8167,77.31,94,40,1.43,scattered clouds
189,San Patricio,US,2021-05-25 20:53:06,28.017,-97.5169,88.48,72,81,17.07,broken clouds
190,Acapulco,MX,2021-05-25 20:52:29,16.8634,-99.8901,89.35,47,71,12.17,broken clouds
191,Emerald,AU,2021-05-25 20:56:18,-23.5333,148.1667,53.74,87,3,4.61,clear sky
192,Hualmay,PE,2021-05-25 20:56:18,-11.0964,-77.6139,68.38,77,17,7.25,few clouds
193,Yar-Sale,RU,2021-05-25 20:53:40,66.8333,70.8333,34.59,88,100,8.34,light rain
194,Kamiiso,JP,2021-05-25 20:56:19,41.8167,140.65,53.1,79,98,7.25,overcast clouds
195,Upernavik,GL,2021-05-25 20:53:00,72.7868,-56.1549,35.76,88,92,3.02,overcast clouds
196,Izazi,TZ,2021-05-25 20:56:19,-7.2,35.7333,66.04,65,74,4.36,broken clouds
197,Bereda,ES,2021-05-25 20:56:20,43.2686,-7.5406,52.92,88,100,3.96,overcast clouds
198,Maridi,SS,2021-05-25 20:56:20,4.9158,29.4742,69.78,86,90,4.43,overcast clouds
199,Pangai,TO,2021-05-25 20:56:20,-19.8,-174.35,69.91,100,90,11.5,light rain
200,Paamiut,GL,2021-05-25 20:56:21,61.994,-49.6678,33.51,75,75,5.93,broken clouds
201,Donskoye,RU,2021-05-25 20:56:21,45.4552,41.9741,61.21,88,100,3.4,light rain
202,Comodoro Rivadavia,AR,2021-05-25 20:56:21,-45.8667,-67.5,49.86,37,0,9.22,clear sky
203,Talnakh,RU,2021-05-25 20:56:22,69.4865,88.3972,20.3,96,50,11.34,scattered clouds
204,Taseyevo,RU,2021-05-25 20:56:22,57.2169,94.8978,39.0,75,84,4.56,broken clouds
205,Saint Anthony,US,2021-05-25 20:55:25,45.0205,-93.218,86.94,38,4,4.0,clear sky
206,Sainte-Marie,RE,2021-05-25 20:56:22,-20.8968,55.5496,71.73,73,20,11.5,few clouds
207,Saldanha,ZA,2021-05-25 20:54:18,-33.0117,17.9442,51.85,82,14,3.53,few clouds
208,Port Lincoln,AU,2021-05-25 20:55:04,-34.7333,135.8667,56.5,63,70,16.15,broken clouds
209,Nyurba,RU,2021-05-25 20:56:23,63.2842,118.3319,46.51,71,100,3.74,overcast clouds
210,Oranjemund,NA,2021-05-25 20:54:11,-28.55,16.4333,58.73,96,18,7.36,few clouds
211,Klichka,RU,2021-05-25 20:56:24,50.4457,117.996,35.98,81,96,3.2,overcast clouds
212,Ejura,GH,2021-05-25 20:56:24,7.3856,-1.3562,76.06,90,86,8.28,moderate rain
213,Sinnar,SD,2021-05-25 20:56:24,13.5691,33.5672,94.41,10,7,6.55,clear sky
214,Nolinsk,RU,2021-05-25 20:56:25,57.5596,49.9363,49.6,77,31,6.08,scattered clouds
215,Kushmurun,KZ,2021-05-25 20:56:25,52.4503,64.6311,76.6,32,5,6.31,clear sky
216,Goderich,CA,2021-05-25 20:56:25,43.7501,-81.7165,83.21,50,55,14.97,broken clouds
217,Mahebourg,MU,2021-05-25 20:55:06,-20.4081,57.7,75.49,83,75,12.66,broken clouds
218,Yarmouth,US,2021-05-25 20:56:26,41.7057,-70.2286,70.11,51,37,11.01,scattered clouds
219,Bathsheba,BB,2021-05-25 20:56:26,13.2167,-59.5167,84.81,54,40,12.88,scattered clouds
220,Agropoli,IT,2021-05-25 20:56:26,40.3469,14.9966,64.9,80,23,2.19,few clouds
221,Medea,DZ,2021-05-25 20:56:27,36.2642,2.7539,55.85,59,92,4.63,overcast clouds
222,Mazatlan,MX,2021-05-25 20:56:27,23.2167,-106.4167,84.9,72,86,7.0,overcast clouds
223,Gogrial,SS,2021-05-25 20:56:27,8.5332,28.1004,84.83,50,50,3.53,scattered clouds
224,Beidao,CN,2021-05-25 20:56:28,34.5686,105.8933,52.88,89,89,1.39,overcast clouds
225,Houma,US,2021-05-25 20:56:28,29.5958,-90.7195,88.0,65,40,12.66,scattered clouds
226,Puerto Madryn,AR,2021-05-25 20:56:28,-42.7692,-65.0385,50.77,41,45,6.69,scattered clouds
227,Pevek,RU,2021-05-25 20:56:29,69.7008,170.3133,32.09,81,99,4.43,overcast clouds
228,Blagoyevo,RU,2021-05-25 20:56:29,63.3667,47.9167,37.27,97,100,7.36,overcast clouds
229,Saint-Pierre,RE,2021-05-25 20:56:29,-21.3393,55.4781,71.24,77,0,6.91,clear sky
230,Zhezkazgan,KZ,2021-05-25 20:56:30,47.8043,67.7144,75.54,30,31,10.98,scattered clouds
231,Lucapa,AO,2021-05-25 20:54:02,-8.4192,20.7447,63.57,49,4,3.91,clear sky
232,Santa Rosalia,MX,2021-05-25 20:56:30,27.3167,-112.2833,82.8,24,19,5.53,few clouds
233,El Paujil,CO,2021-05-25 20:56:30,1.5701,-75.3286,72.34,95,100,0.25,overcast clouds
234,Atar,MR,2021-05-25 20:56:31,20.5169,-13.0499,91.78,16,63,13.24,broken clouds
235,Muros,ES,2021-05-25 20:55:35,42.7762,-9.0603,58.08,65,100,10.42,overcast clouds
236,Walker,US,2021-05-25 20:56:31,30.7335,-95.5669,79.72,80,98,11.16,light rain
237,Turinskaya Sloboda,RU,2021-05-25 20:56:32,57.6232,64.3858,57.47,80,16,8.16,light rain
238,Bredasdorp,ZA,2021-05-25 20:53:18,-34.5322,20.0403,52.92,76,81,6.26,broken clouds
239,Santa Cruz,BO,2021-05-25 20:52:19,-17.8,-63.1667,78.85,44,40,11.5,scattered clouds
240,Namibe,AO,2021-05-25 20:56:32,-15.1961,12.1522,73.54,74,0,3.76,clear sky
241,Devonport,AU,2021-05-25 20:56:32,-41.1667,146.35,52.09,85,93,13.67,light rain
242,Zanesville,US,2021-05-25 20:56:33,39.9404,-82.0132,89.46,48,100,1.01,overcast clouds
243,Anchorage,US,2021-05-25 20:52:43,61.2181,-149.9003,71.58,37,1,3.44,clear sky
244,Katsina,NG,2021-05-25 20:56:33,12.9894,7.6006,89.11,8,79,5.55,broken clouds
245,Mirabela,BR,2021-05-25 20:56:34,-16.2628,-44.1644,86.25,36,36,3.83,scattered clouds
246,Yaan,NG,2021-05-25 20:56:34,7.3833,8.5667,82.76,67,100,9.08,overcast clouds
247,Lebu,CL,2021-05-25 20:56:34,-37.6167,-73.65,56.97,83,89,3.09,overcast clouds
248,Wellington,NZ,2021-05-25 20:55:21,-41.2866,174.7756,47.66,85,0,2.3,clear sky
249,Araouane,ML,2021-05-25 20:56:36,18.9048,-3.5265,100.0,15,100,7.9,overcast clouds
250,Waw,SS,2021-05-25 20:56:36,7.7029,27.9953,78.76,68,98,4.54,overcast clouds
251,Thunder Bay,CA,2021-05-25 20:56:36,48.4001,-89.3168,80.58,50,40,17.27,scattered clouds
252,Qaqortoq,GL,2021-05-25 20:56:36,60.7167,-46.0333,37.09,60,38,9.31,scattered clouds
253,Beringovskiy,RU,2021-05-25 20:56:37,63.05,179.3167,32.67,98,100,5.01,light snow
254,Yumen,CN,2021-05-25 20:56:37,40.2833,97.2,58.71,19,20,6.29,few clouds
255,Lorengau,PG,2021-05-25 20:53:58,-2.0226,147.2712,77.4,93,100,6.49,light rain
256,Bagdarin,RU,2021-05-25 20:56:38,54.4333,113.6,33.91,93,83,2.51,broken clouds
257,Esperance,AU,2021-05-25 20:54:15,-33.8667,121.9,48.04,81,38,9.28,scattered clouds
258,Sur,OM,2021-05-25 20:53:05,22.5667,59.5289,93.06,37,0,14.56,clear sky
259,Birecik,TR,2021-05-25 20:56:38,37.0294,37.9903,74.41,20,1,14.23,clear sky
260,Cherskiy,RU,2021-05-25 20:53:13,68.75,161.3,52.88,37,100,6.13,overcast clouds
